MatchID,homeTeamID,awayTeamID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
761,2,23,11/08/2007,Aston Villa,Liverpool,1,2,A,0,1,A,M Riley,10,17,6,7,18,11,4,2,4,2,0,0,4.0,3.25,1.9
762,6,28,11/08/2007,Bolton,Newcastle,1,3,A,0,3,A,C Foy,13,7,9,5,15,16,4,3,1,1,0,0,2.5,3.2,2.75
763,15,31,11/08/2007,Derby,Portsmouth,2,2,D,1,1,D,M Dean,12,12,5,6,14,17,6,6,1,2,0,0,2.8,3.25,2.4
764,16,43,11/08/2007,Everton,Wigan,2,1,H,1,0,H,M Clattenburg,12,14,8,4,8,13,6,2,0,0,0,0,1.66,3.4,5.5
765,27,4,11/08/2007,Middlesbrough,Blackburn,1,2,A,1,0,H,A Marriner,10,4,6,4,16,16,13,3,3,4,0,0,2.37,3.25,2.87
766,37,39,11/08/2007,Sunderland,Tottenham,1,0,H,0,0,D,A Wiley,9,6,4,3,14,14,7,2,1,1,0,0,3.4,3.25,2.1
767,42,25,11/08/2007,West Ham,Man City,0,2,A,0,1,A,P Walton,9,14,2,5,13,11,5,3,0,4,0,0,2.0,3.2,3.75
768,1,17,12/08/2007,Arsenal,Fulham,2,1,H,0,1,A,P Dowd,19,12,13,9,6,19,14,4,1,5,0,0,1.33,4.5,10.0
769,13,3,12/08/2007,Chelsea,Birmingham,3,2,H,2,2,D,S Bennett,19,6,11,4,8,8,5,3,2,1,0,0,1.2,6.0,13.0
770,26,33,12/08/2007,Man United,Reading,0,0,D,0,0,D,R Styles,22,3,9,2,8,16,12,3,0,2,0,1,1.22,5.5,13.0
771,39,16,14/08/2007,Tottenham,Everton,1,3,A,1,3,A,M Halsey,14,16,8,10,16,9,9,4,2,0,0,0,1.8,3.4,4.33
772,3,37,15/08/2007,Birmingham,Sunderland,2,2,D,1,0,H,K Stroud,7,7,3,3,17,10,2,7,1,1,0,0,2.3,3.25,3.0
773,17,6,15/08/2007,Fulham,Bolton,2,1,H,2,1,H,L Probert,8,14,6,7,19,13,9,8,2,1,0,0,2.2,3.25,3.2
774,25,15,15/08/2007,Man City,Derby,1,0,H,1,0,H,L Mason,9,5,6,3,12,13,4,4,3,1,0,0,1.61,3.6,5.5
