MatchID,homeTeamID,awayTeamID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
2281,4,44,13/08/2011,Blackburn,Wolves,1,2,A,1,1,D,K Friend,16,13,8,4,14,10,12,6,4,2,0,0,2.2,3.2,3.5
2282,17,2,13/08/2011,Fulham,Aston Villa,0,0,D,0,0,D,L Mason,13,7,9,1,10,18,2,3,2,4,0,0,2.2,3.2,3.5
2283,23,37,13/08/2011,Liverpool,Sunderland,1,1,D,1,0,H,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,1.57,3.6,7.0
2284,28,1,13/08/2011,Newcastle,Arsenal,0,0,D,0,0,D,P Walton,6,9,1,4,9,11,2,5,3,5,0,1,3.75,3.25,2.1
2285,32,6,13/08/2011,QPR,Bolton,0,4,A,0,1,A,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0,2.4,3.25,3.0
2286,43,29,13/08/2011,Wigan,Norwich,1,1,D,1,1,D,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0,2.2,3.2,3.5
2287,36,13,14/08/2011,Stoke,Chelsea,0,0,D,0,0,D,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0,5.5,3.5,1.7
2288,41,26,14/08/2011,West Brom,Man United,1,2,A,1,1,D,M Jones,14,11,8,5,16,9,6,5,3,2,0,0,6.5,4.0,1.53
2289,25,38,15/08/2011,Man City,Swansea,4,0,H,0,0,D,M Dean,26,8,19,5,9,2,7,4,0,0,0,0,1.29,5.0,13.0
2290,1,23,20/08/2011,Arsenal,Liverpool,0,2,A,0,0,D,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,2.5,3.25,2.9
2291,2,4,20/08/2011,Aston Villa,Blackburn,3,1,H,2,0,H,S Attwell,9,10,6,6,9,13,5,4,3,0,0,0,1.73,3.4,5.5
2292,13,41,20/08/2011,Chelsea,West Brom,2,1,H,0,1,A,L Mason,22,6,12,4,12,8,7,4,2,4,0,0,1.3,5.5,10.0
2293,16,32,20/08/2011,Everton,QPR,0,1,A,0,1,A,K Friend,14,4,7,3,12,9,2,1,1,1,0,0,1.53,3.8,7.0
2294,37,28,20/08/2011,Sunderland,Newcastle,0,1,A,0,0,D,H Webb,15,12,5,10,17,7,7,6,3,3,1,0,2.2,3.25,3.4
2295,38,43,20/08/2011,Swansea,Wigan,0,0,D,0,0,D,P Dowd,12,10,6,4,8,18,7,7,0,3,0,0,2.1,3.3,3.6
2296,6,25,21/08/2011,Bolton,Man City,2,3,A,1,2,A,M Jones,6,17,4,9,19,14,7,8,2,0,0,0,4.75,3.5,1.8
2297,29,36,21/08/2011,Norwich,Stoke,1,1,D,1,0,H,N Swarbrick,9,15,7,5,13,12,3,6,0,2,1,0,2.6,3.3,2.75
2298,44,17,21/08/2011,Wolves,Fulham,2,0,H,2,0,H,M Dean,17,8,7,4,7,10,7,8,2,2,0,0,2.38,3.25,3.1
2299,26,39,22/08/2011,Man United,Tottenham,3,0,H,0,0,D,L Probert,27,20,21,12,12,9,11,3,1,2,0,0,1.67,3.75,5.5
2300,2,44,27/08/2011,Aston Villa,Wolves,0,0,D,0,0,D,M Atkinson,15,3,5,2,10,9,11,8,1,3,0,0,2.1,3.25,3.75
2301,4,16,27/08/2011,Blackburn,Everton,0,1,A,0,0,D,L Mason,14,9,6,4,17,13,5,4,5,2,0,0,3.3,3.25,2.25
2302,13,29,27/08/2011,Chelsea,Norwich,3,1,H,1,0,H,M Jones,16,9,8,6,17,14,8,6,2,2,0,1,1.2,6.5,15.0
2303,23,6,27/08/2011,Liverpool,Bolton,3,1,H,1,0,H,L Probert,17,7,9,4,5,7,12,6,0,2,0,0,1.4,4.5,8.5
2304,38,37,27/08/2011,Swansea,Sunderland,0,0,D,0,0,D,M Halsey,15,12,6,8,7,10,7,4,1,1,0,0,2.38,3.3,3.0
2305,43,32,27/08/2011,Wigan,QPR,2,0,H,1,0,H,M Oliver,13,19,10,9,13,8,8,7,2,0,0,0,2.25,3.3,3.25
2306,26,1,28/08/2011,Man United,Arsenal,8,2,H,3,1,H,H Webb,25,19,15,13,9,7,3,5,2,3,0,1,1.5,4.33,6.5
2307,28,17,28/08/2011,Newcastle,Fulham,2,1,H,0,0,D,K Friend,13,16,9,9,19,8,6,6,2,1,0,0,2.1,3.25,3.75
2308,39,25,28/08/2011,Tottenham,Man City,1,5,A,0,2,A,P Dowd,15,22,10,12,11,9,10,5,2,4,0,0,2.88,3.3,2.5
2309,41,36,28/08/2011,West Brom,Stoke,0,1,A,0,0,D,M Dean,16,7,7,1,9,12,5,1,0,0,0,0,2.1,3.25,3.75
2310,1,38,10/09/2011,Arsenal,Swansea,1,0,H,1,0,H,S Attwell,18,10,8,5,10,7,4,5,3,2,0,0,1.36,4.75,9.0
2311,6,26,10/09/2011,Bolton,Man United,0,5,A,0,3,A,A Marriner,20,13,13,9,14,1,5,7,2,0,0,0,9.0,4.5,1.4
2312,16,2,10/09/2011,Everton,Aston Villa,2,2,D,1,0,H,M Oliver,17,7,10,3,13,11,8,0,1,1,0,0,2.0,3.4,3.8
2313,25,43,10/09/2011,Man City,Wigan,3,0,H,1,0,H,M Atkinson,23,9,10,5,6,9,8,3,0,0,0,0,1.17,7.0,17.0
