MatchID,homeTeamID,awayTeamID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1901,2,42,14/08/2010,Aston Villa,West Ham United,3,0,H,2,0,H,M Dean,23,12,11,2,15,15,16,7,1,2,0,0,2.0,3.3,4.0
1902,4,16,14/08/2010,Blackburn Rovers,Everton,1,0,H,1,0,H,P Dowd,7,17,2,12,19,14,1,3,2,1,0,0,2.88,3.25,2.5
1903,6,17,14/08/2010,Bolton Wanderers,Fulham,0,0,D,0,0,D,S Attwell,13,12,9,7,12,13,4,8,1,3,0,0,2.2,3.3,3.4
1904,13,41,14/08/2010,Chelsea,West Bromwich Albion,6,0,H,2,0,H,M Clattenburg,18,10,13,4,10,10,3,1,1,0,0,0,1.17,7.0,17.0
1905,37,3,14/08/2010,Sunderland,Birmingham,2,2,D,1,0,H,A Taylor,6,13,2,7,13,10,3,6,3,3,1,0,2.1,3.3,3.6
1906,39,25,14/08/2010,Tottenham Hotspur,Manchester City,0,0,D,0,0,D,A Marriner,22,11,18,7,13,16,10,3,0,2,0,0,2.4,3.3,3.0
1907,43,5,14/08/2010,Wigan Athletic,Blackpool,0,4,A,0,3,A,M Halsey,11,9,6,7,8,11,6,4,1,1,0,0,1.83,3.5,4.5
1908,44,36,14/08/2010,Wolverhampton Wanderers,Stoke City,2,1,H,2,0,H,L Probert,13,10,7,6,17,13,5,5,0,2,0,0,2.3,3.25,3.2
1909,23,1,15/08/2010,Liverpool,Arsenal,1,1,D,0,0,D,M Atkinson,7,14,4,7,13,15,9,11,1,3,1,1,2.5,3.25,2.88
1910,26,28,16/08/2010,Manchester United,Newcastle United,3,0,H,2,0,H,C Foy,18,7,10,3,9,5,5,3,2,2,0,0,1.25,5.5,15.0
1911,1,5,21/08/2010,Arsenal,Blackpool,6,0,H,3,0,H,M Jones,26,3,16,1,9,3,8,2,0,0,0,1,1.17,7.0,19.0
1912,3,4,21/08/2010,Birmingham,Blackburn Rovers,2,1,H,0,0,D,M Oliver,10,7,7,2,13,14,4,12,2,3,0,0,2.2,3.25,3.4
1913,16,44,21/08/2010,Everton,Wolverhampton Wanderers,1,1,D,1,0,H,L Mason,14,9,6,4,18,15,3,3,1,2,0,0,1.5,4.0,7.0
1914,36,39,21/08/2010,Stoke City,Tottenham Hotspur,1,2,A,1,2,A,C Foy,15,7,10,6,15,4,6,2,3,1,0,0,3.4,3.3,2.2
1915,41,37,21/08/2010,West Bromwich Albion,Sunderland,1,0,H,0,0,D,K Friend,11,10,5,4,16,12,4,6,2,2,0,0,2.5,3.25,2.88
1916,42,6,21/08/2010,West Ham United,Bolton Wanderers,1,3,A,0,0,D,A Marriner,17,12,10,8,11,18,8,5,2,4,0,0,2.25,3.3,3.25
1917,43,13,21/08/2010,Wigan Athletic,Chelsea,0,6,A,0,1,A,M Dean,17,10,12,8,12,7,0,0,1,2,0,0,15.0,6.0,1.22
1918,17,26,22/08/2010,Fulham,Manchester United,2,2,D,0,1,A,P Walton,16,14,8,7,7,6,5,11,2,2,0,0,6.0,4.0,1.57
1919,28,2,22/08/2010,Newcastle United,Aston Villa,6,0,H,3,0,H,M Atkinson,20,3,14,1,15,12,10,2,3,1,0,0,3.2,3.25,2.3
1920,25,23,23/08/2010,Manchester City,Liverpool,3,0,H,1,0,H,P Dowd,8,13,3,7,13,12,5,4,1,1,0,0,2.38,3.25,3.1
1921,4,1,28/08/2010,Blackburn Rovers,Arsenal,1,2,A,1,1,D,C Foy,15,14,7,9,9,7,4,8,1,0,0,0,6.0,4.0,1.57
1922,5,17,28/08/2010,Blackpool,Fulham,2,2,D,0,1,A,M Oliver,14,12,5,7,13,16,4,5,1,0,0,0,3.2,3.25,2.3
1923,13,36,28/08/2010,Chelsea,Stoke City,2,0,H,1,0,H,M Atkinson,15,9,6,3,5,10,6,1,0,2,0,0,1.11,9.0,23.0
1924,26,42,28/08/2010,Manchester United,West Ham United,3,0,H,1,0,H,M Clattenburg,18,7,11,2,6,11,9,3,1,2,0,0,1.14,8.0,19.0
1925,39,43,28/08/2010,Tottenham Hotspur,Wigan Athletic,0,1,A,0,0,D,P Dowd,12,13,7,5,10,11,16,7,3,2,0,0,1.25,5.75,13.0
1926,44,28,28/08/2010,Wolverhampton Wanderers,Newcastle United,1,1,D,1,0,H,S Attwell,5,11,2,6,20,17,5,3,7,4,0,0,2.4,3.2,3.1
1927,2,16,29/08/2010,Aston Villa,Everton,1,0,H,1,0,H,M Jones,12,15,6,9,19,10,4,16,4,0,0,0,2.5,3.25,2.88
1928,6,3,29/08/2010,Bolton Wanderers,Birmingham,2,2,D,0,1,A,K Friend,11,9,8,5,19,17,6,1,2,3,1,0,2.1,3.3,3.6
