id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
889,Rosenborg BK,Rosenborg,RBK,https://crests.football-data.org/889.png,"Postboks 6390, Sluppen Trondheim 7492",http://www.rbk.no,1917.0,Black / White,Lerkendal Stadion,2023-02-23T11:10:56Z
907,AC Sparta Praha,Sparta Praha,SPP,https://crests.football-data.org/907.png,Milady Horakove 1066/98 Praha 17082,http://www.sparta.cz,1893.0,Blue / Yellow / Red,Generali Arena,2023-04-14T16:34:35Z
910,Omonia Nicosia,,ONI,https://crests.football-data.org/910.png,null null null,,,,,2023-04-14T17:47:54Z
916,Inter Baku,,,https://crests.football-data.org/916.png,null null null,,,,,2023-08-19T19:27:21Z
928,PFK Levski Sofia,Levski Sofia,LEV,https://crests.football-data.org/928.png,Ulitsa Todorini Kukli 47 Sofia 1517,https://www.levski.bg/,1914.0,Blue / White,Stadion Georgi Asparuhov,2023-04-14T16:33:24Z
930,SK Slavia Praha,Slavia Praha,SLP,https://crests.football-data.org/930.png,Vladivostocká 1460/2 Praha 10005,http://www.slavia.cz,1892.0,Red / White,Sinobo Stadium,2023-03-05T07:43:40Z
946,Aalborg BK,Aalborg,ABK,https://crests.football-data.org/946.png,Hornevej 2 Aalborg 9220,http://www.aabsport.dk,1885.0,Red / White,Aalborg Portland Park,2023-03-28T08:26:02Z
949,Petržalka,,FC ,https://crests.football-data.org/949.png,null null null,,,,,2023-04-14T16:35:00Z
1001,NK Široki Brijeg,Široki Brijeg,ŠIR,,Fra Didaka Buntića bb Široki Brijeg 88220,http://www.nk-sirokibrijeg.com,1948.0,Blue,Stadion Pecara,2020-11-26T02:03:33Z
1003,FC Thun,Thun,THU,https://crests.football-data.org/1003.png,Weststrasse 12 Thun 3604,http://www.fcthun.ch,1898.0,Red / White,Stockhorn Arena,2023-04-14T16:34:47Z
1042,Football Bourg en Bresse Péronnas 01,Bourg Péronnas,FBB,https://crests.football-data.org/1042.png,1 rue du stade Péronnas 01960,http://www.fcbourgperonnas.fr,1942.0,Blue / White,Stade Marcel-Verchère,2023-09-04T12:52:22Z
1044,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png,"Dean Court, Kings Park Bournemouth BH7 7AF",http://www.afcb.co.uk,1890.0,Red / Black,Vitality Stadium,2024-08-29T08:54:34Z
1045,Paris FC,Paris FC,PFC,https://crests.football-data.org/1045.png,17 rue Neuve Tolbiac Paris 75013,http://www.parisfootballclub.com,1969.0,Navy Blue / Sky Blue,Stade Sébastien Charléty,2022-06-19T00:04:35Z
1046,Athletic Bilbao B,Athletic Club II,,https://crests.football-data.org/77.png,null null null,,,,,2022-05-03T12:59:12Z
1048,Real Oviedo,Real Oviedo,OVI,https://crests.football-data.org/1048.png,"Ricardo Vázquez Prada, s/n Oviedo 33013",http://www.realoviedo.es,1926.0,Blue / White,Estadio Nuevo Carlos Tartiere,2022-07-26T17:35:02Z
1049,CD Tondela,Tondela,TON,https://crests.football-data.org/1049.png,Av. Eurico José Gouveia (Estádio) - Apartado 84 Tondela 3460-582,http://www.cdtondela.pt,1933.0,Green / Yellow,Estádio João Cardoso,2023-03-05T07:37:49Z
1052,CF União da Madeira,União Madeira,UNI,https://upload.wikimedia.org/wikipedia/en/0/0f/UMadeira.png,"Av. Arriaga, 75-2.º - Sala 202 Funchal 9000-000",http://www.uniaodamadeira.com,1913.0,Yellow / Blue,Cristiano Ronaldo Campus Futebol,2020-10-28T12:18:49Z
1054,1. FC Magdeburg,Magdeburg,FCM,https://crests.football-data.org/1054.png,Friedrich-Ebert-Str. 62 Magdeburg 39114,http://www.1fcm.de,1945.0,Blue / White,MDCC-Arena,2022-07-12T12:07:11Z
1055,FC Würzburger Kickers,Würzburg,WUR,https://crests.football-data.org/1055.png,Mittlerer Dallenbergweg 49 Würzburg 97082,http://www.wuerzburger-kickers.de,1907.0,Red / White,flyeralarm Arena,2023-05-01T09:27:16Z
1057,KAA Gent,KAA Gent,GEN,https://crests.football-data.org/1057.png,Bruiloftstraat 42 Gent 9050,http://www.kaagent.be,1864.0,Blue / White,GHELAMCO-arena,2024-09-19T13:55:19Z
1060,Bosnia-Herzegovina,Bosnia-H.,BIH,https://crests.football-data.org/bosnia.svg,"Ulica Ferhadija, 30 Sarajevo 71000",http://www.nfsbih.ba,1992.0,White / Blue,Stadion Bilino Polje,2021-11-19T09:13:24Z
1061,Israel,Israel,ISR,https://crests.football-data.org/israel.svg,"Aba Hillel Street, 299 / PO Box 3591 Ramat Gan 52134",http://www.football.org.il,1928.0,Blue / White,Winner Stadium,2021-11-12T09:24:17Z
1062,Latvia,Latvia,LVA,https://crests.football-data.org/latvia.svg,Grostonas iela 6B Rīga 1013,http://www.lff.lv,1921.0,Maroon / White,Daugavas Stadionā,2021-11-19T09:20:28Z
1065,Albania,Albania,ALB,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,Rruga e Elbasanit 9 Tiranë 1000,http://www.fshf.org,1930.0,Red / Black,Air Albania Stadium,2021-04-05T07:09:29Z
1066,Iceland,Iceland,ISL,https://crests.football-data.org/iceland.svg,Laugardal Reykjavík 104,http://www.ksi.is,1947.0,Blue / White,Laugardalsvöllur,2022-05-02T11:32:13Z
1067,Bradford City AFC,Bradford City,BRA,https://crests.football-data.org/1067.png,Valley Parade Bradford BD8 7DY,http://www.bradfordcityfc.co.uk,1876.0,Claret / Orange,Northern Commercials Stadium,2022-08-12T11:10:13Z
1068,Bury FC,Bury,BUR,https://crests.football-data.org/1068.png,"Gigg Lane Bury, Lancashire BL9 9HR",http://www.buryfc.co.uk,1885.0,White / Blue,,2024-02-27T05:12:39Z
1069,Southend United FC,Southend Utd,SOU,https://crests.football-data.org/1069.png,Victoria Avenue Southend-on-Sea SS2 6NQ,http://www.southendunited.co.uk,1906.0,Navy Blue / White,Roots Hall Stadium,2024-10-28T09:35:03Z
1071,Doncaster Rovers FC,Doncaster,DON,https://crests.football-data.org/1071.png,"Stadium Way, Lakeside Doncaster DN4 5JW",http://www.doncasterroversfc.co.uk,1879.0,Red / White / Black,Keepmoat Stadium,2022-10-28T10:52:24Z
1072,Burton Albion FC,Burton Albion,BUR,https://crests.football-data.org/1072.png,Princess Way Burton-on-Trent DE13 0AR,http://www.burtonalbionfc.co.uk,1950.0,Yellow / Black,Pirelli Stadium,2022-10-28T10:54:15Z
1073,Fleetwood Town FC,Fleetwood Town,FLT,https://crests.football-data.org/1073.png,Park Avenue Fleetwood FY7 6TX,http://www.fleetwoodtownfc.com,1908.0,Red / White,Highbury Stadium,2023-08-14T09:54:16Z
1074,Crewe Alexandra FC,Crewe Alex,CRE,https://crests.football-data.org/1074.png,Gresty Road Crewe CW2 6EB,http://www.crewealex.net,1877.0,Red / White,Alexandra Stadium,2022-02-19T09:02:31Z
1075,Oldham Athletic AFC,Oldham Athl,OLD,https://crests.football-data.org/1075.png,SportsDirect.com Park Oldham OL1 2PB,http://www.oldhamathletic.co.uk,1895.0,Blue / White,Boundary Park,2022-10-28T10:49:13Z
1076,Coventry City FC,Coventry City,COV,https://crests.football-data.org/1076.png,"Gallagher Retail Park, Stoney Stanton Road Coventry CV6 5QE",http://www.ccfc.co.uk,1883.0,Sky Blue / White,St Andrew's Trillion Trophy Stadium,2022-02-19T08:56:17Z
1077,Peterborough United FC,Peterborough,PET,https://crests.football-data.org/1077.png,London Road Peterborough PE2 8AL,http://www.theposh.com,1934.0,Blue / White,Weston Homes Stadium,2022-02-20T08:43:26Z
1078,Scunthorpe United FC,Scunthorpe Utd,SCU,https://crests.football-data.org/1078.png,"Glanford Park, Jack Brownsword Way Scunthorpe DN15 8TD",http://www.scunthorpe-united.co.uk,1899.0,Claret / Blue,Glanford Park,2023-07-04T11:01:36Z
