id,name,shortName,tla,crest,address,website,founded,clubColors,venue,lastUpdated
718,Go Ahead Eagles,Go Ahead,GOA,https://crests.football-data.org/718.png,Vetkampstraat 1 Deventer 7416 WK,http://www.ga-eagles.nl,1902.0,Red / Yellow,De Adelaarshorst,2022-03-22T10:09:14Z
719,SV 07 Elversberg,Elversberg,ELV,https://crests.football-data.org/719.png,St. Ingberter Straße 8 Spiesen-Elversberg 66583,http://www.sv07elversberg.de,1907.0,Black / White,Ursapharm-Arena an der Kaiserlinde,2022-07-22T08:44:52Z
720,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png,Steenbeker Weg 150 Kiel 24106,http://www.holstein-kiel.de,1844.0,Blue / Red / White,Holstein-Stadion,2022-05-30T07:15:34Z
721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,Neumarkt 29-33 Leipzig 04109,http://www.dierotenbullen.com,2009.0,White / Red,Red Bull Arena,2022-02-19T09:03:00Z
722,US Latina,Latina,LAT,https://crests.football-data.org/722.png,null null null,,,,,2024-07-29T17:23:54Z
723,Trapani Calcio,Trapani,TRA,https://crests.football-data.org/723.png,Via Orlandini 48 Trapani 91100,http://www.trapanicalcio.it,1905.0,Maroon / White,Stadio Polisportivo Provinciale,2024-07-29T17:24:04Z
726,RSC Anderlecht,Anderlecht,AND,https://crests.football-data.org/726.png,Avenue Théo Verbeecklaan 2 Brussels 1070,http://www.rsca.be,1908.0,Purple / White,Lotto Park,2023-03-27T22:26:58Z
729,FC Basel 1893,Basel,BAS,http://upload.wikimedia.org/wikipedia/commons/c/c5/FC_Basel.png,Birsstr. 320 A Basel 4002,http://www.fcb.ch,1893.0,Red / Blue,St. Jakob-Park,2020-11-26T02:23:35Z
731,FK Zenit Sankt-Petersburg,Zenit,ZEN,https://crests.football-data.org/731.png,Pr. Dobrolyubova 16/2-А Sankt-Petersburg 197198,http://www.fc-zenit.ru,1925.0,Blue / White,Gazprom Arena,2023-03-05T07:40:15Z
732,Celtic FC,Celtic,CEL,https://crests.football-data.org/732.png,Celtic Park Glasgow G40 3RE,http://www.celticfc.co.uk,1887.0,Green / White,Celtic Park,2022-03-06T09:30:12Z
