TeamId,Rank,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,GoalsScored,GoalsConceded,GoalDifference,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
26,1,Man United,2012/2013,38,28,5,5,89.0,86.0,43.0,43.0,534.0,14.052631578947368,425.0,11.18421052631579,307.0,8.078947368421053,248.0,6.526315789473684,204.0,5.368421052631579,196.0,5.157894736842105,390.0,10.263157894736842,385.0,10.131578947368421,51.0,1.3421052631578947,65.0,1.7105263157894737,4.0,0.10526315789473684,1.0,0.02631578947368421
25,2,Man City,2012/2013,38,23,9,6,78.0,66.0,34.0,32.0,504.0,13.263157894736842,463.0,12.18421052631579,273.0,7.184210526315789,268.0,7.052631578947368,245.0,6.447368421052632,198.0,5.2105263157894735,403.0,10.605263157894736,384.0,10.105263157894736,61.0,1.605263157894737,69.0,1.8157894736842106,2.0,0.05263157894736842,3.0,0.07894736842105263
13,3,Chelsea,2012/2013,38,22,9,7,75.0,75.0,39.0,36.0,587.0,15.447368421052632,425.0,11.18421052631579,349.0,9.18421052631579,248.0,6.526315789473684,247.0,6.5,198.0,5.2105263157894735,405.0,10.657894736842104,418.0,11.0,55.0,1.4473684210526316,61.0,1.605263157894737,4.0,0.10526315789473684,1.0,0.02631578947368421
1,4,Arsenal,2012/2013,38,21,10,7,73.0,72.0,37.0,35.0,510.0,13.421052631578947,394.0,10.368421052631579,289.0,7.605263157894737,235.0,6.184210526315789,243.0,6.394736842105263,184.0,4.842105263157895,387.0,10.18421052631579,382.0,10.052631578947368,58.0,1.5263157894736843,61.0,1.605263157894737,2.0,0.05263157894736842,7.0,0.18421052631578946
39,5,Tottenham,2012/2013,38,21,9,8,72.0,66.0,46.0,20.0,521.0,13.710526315789474,432.0,11.368421052631579,312.0,8.210526315789474,256.0,6.7368421052631575,217.0,5.7105263157894735,204.0,5.368421052631579,357.0,9.394736842105264,370.0,9.736842105263158,53.0,1.394736842105263,67.0,1.763157894736842,3.0,0.07894736842105263,2.0,0.05263157894736842
16,6,Everton,2012/2013,38,16,15,7,63.0,55.0,40.0,15.0,537.0,14.131578947368421,438.0,11.526315789473685,310.0,8.157894736842104,249.0,6.552631578947368,253.0,6.657894736842105,185.0,4.868421052631579,455.0,11.973684210526315,442.0,11.631578947368421,62.0,1.631578947368421,79.0,2.0789473684210527,4.0,0.10526315789473684,2.0,0.05263157894736842
23,7,Liverpool,2012/2013,38,16,13,9,61.0,71.0,43.0,28.0,616.0,16.210526315789473,436.0,11.473684210526315,350.0,9.210526315789474,252.0,6.631578947368421,259.0,6.815789473684211,190.0,5.0,375.0,9.868421052631579,352.0,9.263157894736842,49.0,1.2894736842105263,70.0,1.8421052631578947,2.0,0.05263157894736842,2.0,0.05263157894736842
41,8,West Brom,2012/2013,38,14,7,17,49.0,53.0,57.0,-4.0,575.0,15.131578947368421,422.0,11.105263157894736,313.0,8.236842105263158,233.0,6.131578947368421,260.0,6.842105263157895,191.0,5.026315789473684,383.0,10.078947368421053,410.0,10.789473684210526,51.0,1.3421052631578947,70.0,1.8421052631578947,3.0,0.07894736842105263,6.0,0.15789473684210525
42,9,West Ham,2012/2013,38,12,10,16,46.0,45.0,53.0,-8.0,559.0,14.710526315789474,460.0,12.105263157894736,339.0,8.921052631578947,255.0,6.7105263157894735,243.0,6.394736842105263,187.0,4.921052631578948,405.0,10.657894736842104,400.0,10.526315789473685,51.0,1.3421052631578947,64.0,1.6842105263157894,2.0,0.05263157894736842,2.0,0.05263157894736842
38,10,Swansea,2012/2013,38,11,13,14,46.0,47.0,51.0,-4.0,577.0,15.18421052631579,405.0,10.657894736842104,334.0,8.789473684210526,250.0,6.578947368421052,238.0,6.2631578947368425,141.0,3.710526315789474,386.0,10.157894736842104,404.0,10.631578947368421,54.0,1.4210526315789473,70.0,1.8421052631578947,2.0,0.05263157894736842,0.0,0.0
29,11,Norwich,2012/2013,38,10,14,14,44.0,41.0,58.0,-17.0,468.0,12.31578947368421,380.0,10.0,265.0,6.973684210526316,198.0,5.2105263157894735,221.0,5.815789473684211,188.0,4.947368421052632,378.0,9.947368421052632,403.0,10.605263157894736,52.0,1.368421052631579,59.0,1.5526315789473684,2.0,0.05263157894736842,2.0,0.05263157894736842
17,12,Fulham,2012/2013,38,11,10,17,43.0,50.0,60.0,-10.0,572.0,15.052631578947368,422.0,11.105263157894736,314.0,8.263157894736842,258.0,6.7894736842105265,226.0,5.947368421052632,180.0,4.7368421052631575,393.0,10.342105263157896,397.0,10.447368421052632,43.0,1.131578947368421,49.0,1.2894736842105263,3.0,0.07894736842105263,2.0,0.05263157894736842
36,13,Stoke,2012/2013,38,9,15,14,42.0,34.0,45.0,-11.0,468.0,12.31578947368421,349.0,9.18421052631579,244.0,6.421052631578948,187.0,4.921052631578948,229.0,6.026315789473684,159.0,4.184210526315789,378.0,9.947368421052632,410.0,10.789473684210526,52.0,1.368421052631579,69.0,1.8157894736842106,3.0,0.07894736842105263,2.0,0.05263157894736842
2,14,Aston Villa,2012/2013,38,10,11,17,41.0,47.0,69.0,-22.0,533.0,14.026315789473685,417.0,10.973684210526315,282.0,7.421052631578948,239.0,6.2894736842105265,246.0,6.473684210526316,183.0,4.815789473684211,369.0,9.710526315789474,395.0,10.394736842105264,55.0,1.4473684210526316,64.0,1.6842105263157894,3.0,0.07894736842105263,3.0,0.07894736842105263
28,15,Newcastle,2012/2013,38,11,8,19,41.0,45.0,68.0,-23.0,532.0,14.0,382.0,10.052631578947368,276.0,7.2631578947368425,226.0,5.947368421052632,260.0,6.842105263157895,155.0,4.078947368421052,411.0,10.81578947368421,428.0,11.263157894736842,56.0,1.4736842105263157,81.0,2.1315789473684212,1.0,0.02631578947368421,4.0,0.10526315789473684
