TeamId,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,AvgB365H,AvgB365D,AvgB365A,AvgB365Overall,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
15,Chelsea,2016/17,38,30,3,5,93.0,3.5376315789473685,4.736315789473683,6.28342105263158,4.852456140350877,484.0,12.736842105263158,418.0,11.0,169.0,4.447368421052632,140.0,3.6842105263157894,203.0,5.342105263157895,175.0,4.605263157894737,426.0,11.210526315789474,459.0,12.078947368421053,74.0,1.9473684210526316,80.0,2.1052631578947367,3.0,0.07894736842105263,1.0,0.02631578947368421
6,Tottenham,2016/17,38,26,8,4,86.0,3.0763157894736843,4.396052631578947,5.305789473684211,4.259385964912281,571.0,15.026315789473685,446.0,11.736842105263158,213.0,5.605263157894737,155.0,4.078947368421052,228.0,6.0,181.0,4.7631578947368425,426.0,11.210526315789474,477.0,12.552631578947368,66.0,1.736842105263158,84.0,2.210526315789474,1.0,0.02631578947368421,2.0,0.05263157894736842
20,Man City,2016/17,38,23,9,6,78.0,3.9997368421052633,5.219736842105264,6.430789473684211,5.216754385964912,511.0,13.447368421052632,421.0,11.078947368421053,177.0,4.657894736842105,146.0,3.8421052631578947,217.0,5.7105263157894735,193.0,5.078947368421052,412.0,10.842105263157896,418.0,11.0,75.0,1.9736842105263157,86.0,2.263157894736842,4.0,0.10526315789473684,1.0,0.02631578947368421
3,Liverpool,2016/17,38,22,10,6,76.0,3.2571052631578947,4.670526315789474,5.852631578947369,4.593421052631579,497.0,13.078947368421053,448.0,11.789473684210526,196.0,5.157894736842105,154.0,4.052631578947368,188.0,4.947368421052632,194.0,5.105263157894737,401.0,10.552631578947368,397.0,10.447368421052632,55.0,1.4473684210526316,70.0,1.8421052631578947,0.0,0.0,1.0,0.02631578947368421
12,Arsenal,2016/17,38,23,6,9,75.0,3.1171052631578946,4.747368421052633,5.89421052631579,4.586228070175439,561.0,14.763157894736842,435.0,11.447368421052632,201.0,5.2894736842105265,166.0,4.368421052631579,236.0,6.2105263157894735,182.0,4.7894736842105265,388.0,10.210526315789474,409.0,10.763157894736842,69.0,1.8157894736842106,74.0,1.9473684210526316,6.0,0.15789473684210525,1.0,0.02631578947368421
11,Man United,2016/17,38,18,15,5,69.0,3.2257894736842103,4.378947368421053,5.671052631578948,4.425263157894737,533.0,14.026315789473685,414.0,10.894736842105264,182.0,4.7894736842105265,142.0,3.736842105263158,223.0,5.868421052631579,142.0,3.736842105263158,465.0,12.236842105263158,489.0,12.868421052631579,67.0,1.763157894736842,77.0,2.026315789473684,3.0,0.07894736842105263,3.0,0.07894736842105263
9,Everton,2016/17,38,17,10,11,61.0,2.605,3.849736842105263,4.211052631578947,3.555263157894737,528.0,13.894736842105264,415.0,10.921052631578947,202.0,5.315789473684211,138.0,3.6315789473684212,225.0,5.921052631578948,186.0,4.894736842105263,431.0,11.342105263157896,460.0,12.105263157894736,61.0,1.605263157894737,68.0,1.7894736842105263,2.0,0.05263157894736842,2.0,0.05263157894736842
13,Southampton,2016/17,38,12,10,16,46.0,2.5331578947368425,3.6947368421052627,4.221842105263158,3.483245614035088,530.0,13.947368421052632,454.0,11.947368421052632,167.0,4.394736842105263,140.0,3.6842105263157894,208.0,5.473684210526316,182.0,4.7894736842105265,417.0,10.973684210526315,434.0,11.421052631578947,56.0,1.4736842105263157,69.0,1.8157894736842106,3.0,0.07894736842105263,1.0,0.02631578947368421
21,Bournemouth,2016/17,38,12,10,16,46.0,2.656842105263158,3.9342105263157894,4.476842105263158,3.689298245614035,571.0,15.026315789473685,426.0,11.210526315789474,205.0,5.394736842105263,144.0,3.789473684210526,213.0,5.605263157894737,183.0,4.815789473684211,406.0,10.68421052631579,455.0,11.973684210526315,62.0,1.631578947368421,70.0,1.8421052631578947,2.0,0.05263157894736842,4.0,0.10526315789473684
5,West Brom,2016/17,38,12,9,17,45.0,2.7710526315789474,3.9592105263157893,5.039210526315789,3.9231578947368413,487.0,12.81578947368421,430.0,11.31578947368421,156.0,4.105263157894737,129.0,3.3947368421052633,185.0,4.868421052631579,184.0,4.842105263157895,399.0,10.5,408.0,10.736842105263158,62.0,1.631578947368421,70.0,1.8421052631578947,2.0,0.05263157894736842,1.0,0.02631578947368421
4,West Ham,2016/17,38,12,9,17,45.0,2.750263157894737,3.905263157894737,4.118157894736842,3.5912280701754384,552.0,14.526315789473685,446.0,11.736842105263158,159.0,4.184210526315789,160.0,4.2105263157894735,201.0,5.2894736842105265,155.0,4.078947368421052,432.0,11.368421052631579,453.0,11.921052631578947,89.0,2.3421052631578947,70.0,1.8421052631578947,1.0,0.02631578947368421,5.0,0.13157894736842105
16,Leicester,2016/17,38,12,8,18,44.0,2.5755263157894737,3.815263157894737,4.188421052631579,3.52640350877193,537.0,14.131578947368421,449.0,11.81578947368421,183.0,4.815789473684211,153.0,4.026315789473684,230.0,6.052631578947368,186.0,4.894736842105263,365.0,9.605263157894736,427.0,11.236842105263158,59.0,1.5526315789473684,68.0,1.7894736842105263,0.0,0.0,1.0,0.02631578947368421
28,Stoke,2016/17,38,11,11,16,44.0,2.575263157894737,3.8894736842105266,4.56921052631579,3.677982456140351,517.0,13.605263157894736,447.0,11.763157894736842,176.0,4.631578947368421,142.0,3.736842105263158,235.0,6.184210526315789,206.0,5.421052631578948,448.0,11.789473684210526,439.0,11.552631578947368,75.0,1.9736842105263157,73.0,1.9210526315789473,3.0,0.07894736842105263,1.0,0.02631578947368421
2,Crystal Palace,2016/17,38,12,5,21,41.0,2.6992105263157895,3.810526315789474,4.171578947368421,3.560438596491229,515.0,13.552631578947368,440.0,11.578947368421053,171.0,4.5,144.0,3.789473684210526,222.0,5.842105263157895,203.0,5.342105263157895,467.0,12.289473684210526,478.0,12.578947368421053,65.0,1.7105263157894737,81.0,2.1315789473684212,0.0,0.0,1.0,0.02631578947368421
30,Swansea,2016/17,38,12,5,21,41.0,2.832105263157895,4.083684210526317,4.706315789473685,3.874035087719299,500.0,13.157894736842104,408.0,10.736842105263158,191.0,5.026315789473684,140.0,3.6842105263157894,221.0,5.815789473684211,161.0,4.2368421052631575,392.0,10.31578947368421,447.0,11.763157894736842,63.0,1.6578947368421053,57.0,1.5,1.0,0.02631578947368421,0.0,0.0
33,Watford,2016/17,38,11,7,20,40.0,2.775,4.099999999999999,5.015263157894737,3.963421052631579,530.0,13.947368421052632,427.0,11.236842105263158,185.0,4.868421052631579,148.0,3.8947368421052633,199.0,5.2368421052631575,167.0,4.394736842105263,474.0,12.473684210526315,481.0,12.657894736842104,76.0,2.0,68.0,1.7894736842105263,3.0,0.07894736842105263,5.0,0.13157894736842105
19,Burnley,2016/17,38,11,7,20,40.0,3.061578947368421,4.260000000000001,5.63078947368421,4.3174561403508775,583.0,15.342105263157896,474.0,12.473684210526315,191.0,5.026315789473684,140.0,3.6842105263157894,228.0,6.0,184.0,4.842105263157895,405.0,10.657894736842104,443.0,11.657894736842104,64.0,1.6842105263157894,64.0,1.6842105263157894,3.0,0.07894736842105263,2.0,0.05263157894736842
34,Hull,2016/17,38,9,7,22,34.0,3.1097368421052627,4.315263157894736,5.56,4.328333333333333,522.0,13.736842105263158,492.0,12.947368421052632,172.0,4.526315789473684,170.0,4.473684210526316,201.0,5.2894736842105265,221.0,5.815789473684211,412.0,10.842105263157896,394.0,10.368421052631579,51.0,1.3421052631578947,69.0,1.8157894736842106,3.0,0.07894736842105263,4.0,0.10526315789473684
37,Middlesbrough,2016/17,38,5,13,20,28.0,2.9489473684210528,4.0823684210526325,5.457368421052632,4.162894736842106,518.0,13.631578947368421,379.0,9.973684210526315,164.0,4.315789473684211,108.0,2.8421052631578947,215.0,5.657894736842105,143.0,3.763157894736842,418.0,11.0,473.0,12.447368421052632,72.0,1.894736842105263,67.0,1.763157894736842,0.0,0.0,1.0,0.02631578947368421
29,Sunderland,2016/17,38,6,6,26,24.0,3.4457894736842105,4.667105263157895,5.927105263157895,4.68,603.0,15.868421052631579,459.0,12.078947368421053,198.0,5.2105263157894735,171.0,4.5,238.0,6.2631578947368425,170.0,4.473684210526316,424.0,11.157894736842104,419.0,11.026315789473685,65.0,1.7105263157894737,69.0,1.8157894736842106,2.0,0.05263157894736842,3.0,0.07894736842105263
