TeamId,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,AvgB365H,AvgB365D,AvgB365A,AvgB365Overall,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
16,Leicester,2015/16,38,23,12,3,81.0,2.39421052631579,3.6778947368421058,3.6742105263157896,3.248771929824562,561.0,14.763157894736842,478.0,12.578947368421053,163.0,4.2894736842105265,161.0,4.2368421052631575,226.0,5.947368421052632,210.0,5.526315789473684,350.0,9.210526315789474,428.0,11.263157894736842,50.0,1.3157894736842106,64.0,1.6842105263157894,2.0,0.05263157894736842,3.0,0.07894736842105263
12,Arsenal,2015/16,38,20,11,7,71.0,2.9305263157894736,4.47578947368421,5.405789473684211,4.270701754385965,572.0,15.052631578947368,452.0,11.894736842105264,194.0,5.105263157894737,168.0,4.421052631578948,233.0,6.131578947368421,175.0,4.605263157894737,388.0,10.210526315789474,410.0,10.789473684210526,54.0,1.4210526315789473,50.0,1.3157894736842106,2.0,0.05263157894736842,5.0,0.13157894736842105
6,Tottenham,2015/16,38,19,13,6,70.0,2.695,3.9463157894736844,4.418947368421052,3.686754385964912,604.0,15.894736842105264,478.0,12.578947368421053,209.0,5.5,162.0,4.2631578947368425,237.0,6.2368421052631575,198.0,5.2105263157894735,410.0,10.789473684210526,445.0,11.710526315789474,58.0,1.5263157894736843,77.0,2.026315789473684,2.0,0.05263157894736842,1.0,0.02631578947368421
11,Man United,2015/16,38,19,9,10,66.0,2.623157894736842,3.9073684210526314,4.8481578947368416,3.7928947368421047,501.0,13.18421052631579,340.0,8.947368421052632,157.0,4.131578947368421,109.0,2.8684210526315788,201.0,5.2894736842105265,171.0,4.5,397.0,10.447368421052632,449.0,11.81578947368421,55.0,1.4473684210526316,65.0,1.7105263157894737,0.0,0.0,3.0,0.07894736842105263
20,Man City,2015/16,38,19,9,10,66.0,3.1473684210526316,4.667894736842105,5.388947368421052,4.40140350877193,519.0,13.657894736842104,429.0,11.289473684210526,174.0,4.578947368421052,161.0,4.2368421052631575,248.0,6.526315789473684,174.0,4.578947368421052,395.0,10.394736842105264,416.0,10.947368421052632,55.0,1.4473684210526316,64.0,1.6842105263157894,1.0,0.02631578947368421,1.0,0.02631578947368421
13,Southampton,2015/16,38,18,9,11,63.0,2.511052631578947,3.658157894736842,4.015,3.3947368421052624,519.0,13.657894736842104,460.0,12.105263157894736,166.0,4.368421052631579,143.0,3.763157894736842,234.0,6.157894736842105,195.0,5.131578947368421,373.0,9.81578947368421,418.0,11.0,46.0,1.2105263157894737,50.0,1.3157894736842106,3.0,0.07894736842105263,4.0,0.10526315789473684
4,West Ham,2015/16,38,16,14,8,62.0,2.4552631578947373,3.8297368421052633,4.298157894736842,3.5277192982456143,611.0,16.07894736842105,468.0,12.31578947368421,195.0,5.131578947368421,157.0,4.131578947368421,224.0,5.894736842105263,196.0,5.157894736842105,417.0,10.973684210526315,431.0,11.342105263157896,51.0,1.3421052631578947,69.0,1.8157894736842106,9.0,0.23684210526315788,5.0,0.13157894736842105
3,Liverpool,2015/16,38,16,12,10,60.0,2.5636842105263153,3.863421052631579,4.291842105263157,3.5729824561403505,592.0,15.578947368421053,434.0,11.421052631578947,185.0,4.868421052631579,151.0,3.973684210526316,230.0,6.052631578947368,210.0,5.526315789473684,347.0,9.131578947368421,469.0,12.342105263157896,48.0,1.263157894736842,60.0,1.5789473684210527,1.0,0.02631578947368421,5.0,0.13157894736842105
28,Stoke,2015/16,38,14,9,15,51.0,2.494473684210526,3.6328947368421054,4.038157894736843,3.388508771929825,523.0,13.763157894736842,428.0,11.263157894736842,162.0,4.2631578947368425,145.0,3.8157894736842106,227.0,5.973684210526316,166.0,4.368421052631579,362.0,9.526315789473685,459.0,12.078947368421053,53.0,1.394736842105263,54.0,1.4210526315789473,2.0,0.05263157894736842,4.0,0.10526315789473684
15,Chelsea,2015/16,38,12,14,12,50.0,2.7710526315789474,3.9731578947368424,4.5786842105263155,3.7742982456140353,542.0,14.263157894736842,466.0,12.263157894736842,178.0,4.684210526315789,174.0,4.578947368421052,226.0,5.947368421052632,220.0,5.7894736842105265,452.0,11.894736842105264,453.0,11.921052631578947,79.0,2.0789473684210527,87.0,2.289473684210526,5.0,0.13157894736842105,5.0,0.13157894736842105
