TeamId,Rank,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,GoalsScored,GoalsConceded,GoalDifference,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
26,1,Man United,2008/2009,38,28,6,4,90.0,68.0,24.0,44.0,565.0,14.868421052631579,424.0,11.157894736842104,331.0,8.710526315789474,238.0,6.2631578947368425,224.0,5.894736842105263,180.0,4.7368421052631575,430.0,11.31578947368421,422.0,11.105263157894736,58.0,1.5263157894736843,75.0,1.9736842105263157,3.0,0.07894736842105263,4.0,0.10526315789473684
23,2,Liverpool,2008/2009,38,25,11,2,86.0,77.0,27.0,50.0,508.0,13.368421052631579,367.0,9.657894736842104,260.0,6.842105263157895,193.0,5.078947368421052,250.0,6.578947368421052,155.0,4.078947368421052,414.0,10.894736842105264,434.0,11.421052631578947,54.0,1.4210526315789473,63.0,1.6578947368421053,5.0,0.13157894736842105,5.0,0.13157894736842105
13,3,Chelsea,2008/2009,38,25,8,5,83.0,68.0,24.0,44.0,574.0,15.105263157894736,444.0,11.68421052631579,314.0,8.263157894736842,241.0,6.342105263157895,239.0,6.2894736842105265,178.0,4.684210526315789,421.0,11.078947368421053,464.0,12.210526315789474,41.0,1.0789473684210527,66.0,1.736842105263158,0.0,0.0,3.0,0.07894736842105263
1,4,Arsenal,2008/2009,38,20,12,6,72.0,68.0,37.0,31.0,500.0,13.157894736842104,391.0,10.289473684210526,280.0,7.368421052631579,217.0,5.7105263157894735,247.0,6.5,166.0,4.368421052631579,432.0,11.368421052631579,456.0,12.0,59.0,1.5526315789473684,71.0,1.868421052631579,3.0,0.07894736842105263,2.0,0.05263157894736842
16,5,Everton,2008/2009,38,17,12,9,63.0,55.0,37.0,18.0,467.0,12.289473684210526,385.0,10.131578947368421,252.0,6.631578947368421,216.0,5.684210526315789,212.0,5.578947368421052,175.0,4.605263157894737,480.0,12.631578947368421,498.0,13.105263157894736,44.0,1.1578947368421053,68.0,1.7894736842105263,2.0,0.05263157894736842,2.0,0.05263157894736842
2,6,Aston Villa,2008/2009,38,17,11,10,62.0,54.0,48.0,6.0,502.0,13.210526315789474,360.0,9.473684210526315,276.0,7.2631578947368425,200.0,5.2631578947368425,283.0,7.447368421052632,222.0,5.842105263157895,421.0,11.078947368421053,476.0,12.526315789473685,45.0,1.1842105263157894,72.0,1.894736842105263,1.0,0.02631578947368421,4.0,0.10526315789473684
17,7,Fulham,2008/2009,38,14,11,13,53.0,39.0,34.0,5.0,486.0,12.789473684210526,431.0,11.342105263157896,267.0,7.026315789473684,221.0,5.815789473684211,240.0,6.315789473684211,170.0,4.473684210526316,376.0,9.894736842105264,392.0,10.31578947368421,38.0,1.0,41.0,1.0789473684210527,2.0,0.05263157894736842,2.0,0.05263157894736842
39,8,Tottenham,2008/2009,38,14,9,15,51.0,45.0,45.0,0.0,545.0,14.342105263157896,385.0,10.131578947368421,298.0,7.842105263157895,227.0,5.973684210526316,245.0,6.447368421052632,193.0,5.078947368421052,445.0,11.710526315789474,441.0,11.605263157894736,56.0,1.4736842105263157,76.0,2.0,3.0,0.07894736842105263,8.0,0.21052631578947367
42,9,West Ham,2008/2009,38,14,9,15,51.0,42.0,45.0,-3.0,552.0,14.526315789473685,448.0,11.789473684210526,301.0,7.921052631578948,244.0,6.421052631578948,254.0,6.684210526315789,191.0,5.026315789473684,430.0,11.31578947368421,485.0,12.763157894736842,60.0,1.5789473684210527,71.0,1.868421052631579,3.0,0.07894736842105263,4.0,0.10526315789473684
25,10,Man City,2008/2009,38,15,5,18,50.0,58.0,50.0,8.0,500.0,13.157894736842104,444.0,11.68421052631579,272.0,7.157894736842105,238.0,6.2631578947368425,223.0,5.868421052631579,206.0,5.421052631578948,442.0,11.631578947368421,462.0,12.157894736842104,39.0,1.0263157894736843,76.0,2.0,6.0,0.15789473684210525,5.0,0.13157894736842105
