TeamId,Rank,Team,Season,MatchesPlayed,Wins,Draws,Losses,Points,GoalsScored,GoalsConceded,GoalDifference,TotalHS,PerGameHS,TotalAS,PerGameAS,TotalHST,PerGameHST,TotalAST,PerGameAST,TotalHC,PerGameHC,TotalAC,PerGameAC,TotalHF,PerGameHF,TotalAF,PerGameAF,TotalHY,PerGameHY,TotalAY,PerGameAY,TotalHR,PerGameHR,TotalAR,PerGameAR
25,1,Man City,2021/2022,38,29,6,3,93.0,99.0,26.0,73.0,495.0,13.026315789473685,457.0,12.026315789473685,176.0,4.631578947368421,166.0,4.368421052631579,238.0,6.2631578947368425,187.0,4.921052631578948,335.0,8.81578947368421,326.0,8.578947368421053,49.0,1.2894736842105263,56.0,1.4736842105263157,2.0,0.05263157894736842,2.0,0.05263157894736842
23,2,Liverpool,2021/2022,38,28,8,2,92.0,94.0,26.0,68.0,567.0,14.921052631578947,459.0,12.078947368421053,199.0,5.2368421052631575,167.0,4.394736842105263,209.0,5.5,193.0,5.078947368421052,331.0,8.710526315789474,343.0,9.026315789473685,56.0,1.4736842105263157,57.0,1.5,2.0,0.05263157894736842,2.0,0.05263157894736842
13,3,Chelsea,2021/2022,38,21,11,6,74.0,76.0,33.0,43.0,494.0,13.0,439.0,11.552631578947368,171.0,4.5,159.0,4.184210526315789,220.0,5.7894736842105265,174.0,4.578947368421052,409.0,10.763157894736842,405.0,10.657894736842104,59.0,1.5526315789473684,71.0,1.868421052631579,1.0,0.02631578947368421,4.0,0.10526315789473684
39,4,Tottenham,2021/2022,38,22,5,11,71.0,69.0,40.0,29.0,526.0,13.842105263157896,446.0,11.736842105263158,168.0,4.421052631578948,171.0,4.5,211.0,5.552631578947368,177.0,4.657894736842105,416.0,10.947368421052632,382.0,10.052631578947368,70.0,1.8421052631578947,72.0,1.894736842105263,3.0,0.07894736842105263,4.0,0.10526315789473684
1,5,Arsenal,2021/2022,38,22,3,13,69.0,61.0,48.0,13.0,594.0,15.631578947368421,419.0,11.026315789473685,205.0,5.394736842105263,139.0,3.6578947368421053,225.0,5.921052631578948,160.0,4.2105263157894735,358.0,9.421052631578947,381.0,10.026315789473685,61.0,1.605263157894737,64.0,1.6842105263157894,1.0,0.02631578947368421,6.0,0.15789473684210525
26,6,Man United,2021/2022,38,16,10,12,58.0,57.0,57.0,0.0,552.0,14.526315789473685,467.0,12.289473684210526,210.0,5.526315789473684,160.0,4.2105263157894735,206.0,5.421052631578948,202.0,5.315789473684211,337.0,8.868421052631579,391.0,10.289473684210526,63.0,1.6578947368421053,60.0,1.5789473684210527,1.0,0.02631578947368421,2.0,0.05263157894736842
42,7,West Ham,2021/2022,38,16,8,14,56.0,60.0,51.0,9.0,536.0,14.105263157894736,445.0,11.710526315789474,170.0,4.473684210526316,155.0,4.078947368421052,210.0,5.526315789473684,181.0,4.7631578947368425,310.0,8.157894736842104,306.0,8.052631578947368,49.0,1.2894736842105263,44.0,1.1578947368421053,1.0,0.02631578947368421,5.0,0.13157894736842105
22,8,Leicester,2021/2022,38,14,10,14,52.0,62.0,59.0,3.0,521.0,13.710526315789474,472.0,12.421052631578947,202.0,5.315789473684211,164.0,4.315789473684211,211.0,5.552631578947368,194.0,5.105263157894737,367.0,9.657894736842104,394.0,10.368421052631579,52.0,1.368421052631579,61.0,1.605263157894737,0.0,0.0,1.0,0.02631578947368421
9,9,Brighton,2021/2022,38,12,15,11,51.0,42.0,44.0,-2.0,528.0,13.894736842105264,438.0,11.526315789473685,138.0,3.6315789473684212,166.0,4.368421052631579,242.0,6.368421052631579,172.0,4.526315789473684,401.0,10.552631578947368,364.0,9.578947368421053,75.0,1.9736842105263157,76.0,2.0,1.0,0.02631578947368421,1.0,0.02631578947368421
44,10,Wolves,2021/2022,38,15,6,17,51.0,38.0,43.0,-5.0,509.0,13.394736842105264,404.0,10.631578947368421,159.0,4.184210526315789,148.0,3.8947368421052633,192.0,5.052631578947368,180.0,4.7368421052631575,365.0,9.605263157894736,354.0,9.31578947368421,66.0,1.736842105263158,76.0,2.0,2.0,0.05263157894736842,3.0,0.07894736842105263
